dimension,mutation rate,cross over rate,pxa,pxb,pxc,pxp
33,1,0.1,0.24967,0.25117,0.24992,0.24924
,,,,,,
33,0.2,0.4,0.25062,0.24861,0.25317,0.2476
,,,,,,
33,0.6,0.4,0.24971,0.24872,0.24999,0.25158
,,,,,,
33,1,0.4,0.2507,0.24996,0.2495,0.24984
,,,,,,
33,0.2,0.7,0.25132,0.24996,0.24798,0.25074
,,,,,,
33,0.6,0.7,0.25128,0.24978,0.24862,0.25032
,,,,,,
33,1,0.7,0.24806,0.24821,0.25369,0.25004
,,,,,,
34,0.2,0.1,0.24927,0.24998,0.25248,0.24827
,,,,,,
34,0.6,0.1,0.2497,0.25091,0.24969,0.2497
,,,,,,
34,1,0.1,0.25098,0.24889,0.25272,0.24741
,,,,,,
34,0.2,0.4,0.25074,0.24941,0.25001,0.24984
,,,,,,
34,0.6,0.4,0.24975,0.24947,0.25162,0.24916
,,,,,,
34,1,0.4,0.24834,0.25151,0.25061,0.24954
,,,,,,
34,0.2,0.7,0.24834,0.24846,0.25129,0.25191
,,,,,,
34,0.6,0.7,0.25176,0.25217,0.24657,0.2495
,,,,,,
34,1,0.7,0.25068,0.24964,0.24894,0.25074
,,,,,,
35,0.2,0.1,0.25122,0.248,0.25154,0.24924
,,,,,,
35,0.6,0.1,0.24841,0.25162,0.24991,0.25006
,,,,,,
35,1,0.1,0.2497,0.25009,0.25058,0.24963
,,,,,,
35,0.2,0.4,0.25005,0.2501,0.25026,0.24959
,,,,,,
35,0.6,0.4,0.25056,0.2509,0.25049,0.24805
,,,,,,
35,1,0.4,0.25088,0.24953,0.25005,0.24954
,,,,,,
35,0.2,0.7,0.24682,0.25338,0.24838,0.25142
,,,,,,
35,0.6,0.7,0.24906,0.25064,0.25157,0.24873
,,,,,,
35,1,0.7,0.24969,0.24968,0.24949,0.25114
,,,,,,
36,0.2,0.1,0.24946,0.25097,0.25111,0.24846
,,,,,,
36,0.6,0.1,0.25081,0.25119,0.24932,0.24868
,,,,,,
36,1,0.1,0.24822,0.25224,0.24995,0.24959
,,,,,,
36,0.2,0.4,0.24827,0.25013,0.2517,0.2499
,,,,,,
36,0.6,0.4,0.25013,0.2498,0.24867,0.2514
,,,,,,
36,1,0.4,0.24911,0.24936,0.25038,0.25115
,,,,,,
36,0.2,0.7,0.25037,0.25147,0.24925,0.24891
,,,,,,
36,0.6,0.7,0.2525,0.2498,0.24799,0.24971
,,,,,,
36,1,0.7,0.24869,0.25153,0.25236,0.24742
,,,,,,
37,0.2,0.1,0.24899,0.25208,0.24918,0.24975
,,,,,,
37,0.6,0.1,0.25003,0.25011,0.24967,0.25019
,,,,,,
37,1,0.1,0.24837,0.24947,0.25164,0.25052
,,,,,,
37,0.2,0.4,0.24928,0.25222,0.24772,0.25078
,,,,,,
37,0.6,0.4,0.25177,0.24971,0.2504,0.24812
,,,,,,
37,1,0.4,0.24907,0.25147,0.24899,0.25047
,,,,,,
37,0.2,0.7,0.25291,0.2496,0.24715,0.25034
,,,,,,
37,0.6,0.7,0.25114,0.24992,0.24869,0.25025
,,,,,,
37,1,0.7,0.24851,0.24969,0.25188,0.24992
,,,,,,
38,0.2,0.1,0.25175,0.24981,0.24907,0.24937
,,,,,,
38,0.6,0.1,0.25039,0.25162,0.24888,0.24911
,,,,,,
38,1,0.1,0.24882,0.25162,0.24994,0.24962
,,,,,,
38,0.2,0.4,0.24672,0.24873,0.25111,0.25344
,,,,,,
38,0.6,0.4,0.24802,0.2505,0.24904,0.25244
,,,,,,
38,1,0.4,0.24982,0.25198,0.24702,0.25118
,,,,,,
38,0.2,0.7,0.24968,0.2515,0.24724,0.25158
,,,,,,
38,0.6,0.7,0.25222,0.24988,0.25016,0.24774
,,,,,,
38,1,0.7,0.25085,0.24663,0.25275,0.24977
,,,,,,
39,0.2,0.1,0.25011,0.24889,0.25219,0.24881
,,,,,,
39,0.6,0.1,0.25205,0.24796,0.2515,0.24849
,,,,,,
39,1,0.1,0.24985,0.24833,0.25146,0.25036
,,,,,,
39,0.2,0.4,0.25341,0.24844,0.24978,0.24837
,,,,,,
39,0.6,0.4,0.25066,0.25112,0.25036,0.24786
,,,,,,
39,1,0.4,0.25199,0.24979,0.24868,0.24954
,,,,,,
39,0.2,0.7,0.25074,0.25127,0.25106,0.24693
,,,,,,
39,0.6,0.7,0.25133,0.24931,0.2497,0.24966
,,,,,,
39,1,0.7,0.25133,0.24818,0.24852,0.25197
,,,,,,
40,0.2,0.1,0.24788,0.25132,0.25129,0.24951
,,,,,,
40,0.6,0.1,0.25035,0.24961,0.25037,0.24967
,,,,,,
40,1,0.1,0.24929,0.24934,0.25225,0.24912
,,,,,,
40,0.2,0.4,0.24852,0.24997,0.25153,0.24998
,,,,,,
40,0.6,0.4,0.25106,0.24905,0.24859,0.2513
,,,,,,
40,1,0.4,0.24802,0.2496,0.24993,0.25245
,,,,,,
40,0.2,0.7,0.24913,0.24962,0.25105,0.2502
,,,,,,
40,0.6,0.7,0.25067,0.24928,0.25085,0.2492
,,,,,,
40,1,0.7,0.24768,0.25209,0.25081,0.24942
,,,,,,
41,0.2,0.1,0.24876,0.25089,0.24999,0.25036
,,,,,,
41,0.6,0.1,0.24882,0.25093,0.24938,0.25087
,,,,,,
41,1,0.1,0.25111,0.24861,0.25137,0.24891
,,,,,,
41,0.2,0.4,0.24912,0.25135,0.25006,0.24947
,,,,,,
41,0.6,0.4,0.24948,0.24944,0.25029,0.25079
,,,,,,
41,1,0.4,0.24942,0.24838,0.25107,0.25113
,,,,,,
41,0.2,0.7,0.25029,0.25227,0.24981,0.24763
,,,,,,
41,0.6,0.7,0.25216,0.25044,0.25012,0.24728
,,,,,,
41,1,0.7,0.24899,0.24955,0.24799,0.25347
,,,,,,
42,0.2,0.1,0.24901,0.24995,0.24948,0.25156
,,,,,,
42,0.6,0.1,0.24988,0.24981,0.24943,0.25088
,,,,,,
42,1,0.1,0.25115,0.24912,0.24944,0.25029
,,,,,,
42,0.2,0.4,0.24837,0.25054,0.25208,0.24901
,,,,,,
42,0.6,0.4,0.2492,0.25085,0.24912,0.25083
,,,,,,
42,1,0.4,0.24882,0.25126,0.2496,0.25032
,,,,,,
42,0.2,0.7,0.25099,0.25007,0.25044,0.2485
,,,,,,
42,0.6,0.7,0.25035,0.24943,0.25146,0.24876
,,,,,,
42,1,0.7,0.24939,0.25116,0.2498,0.24965
,,,,,,
43,0.2,0.1,0.25167,0.24906,0.24777,0.2515
,,,,,,
43,0.6,0.1,0.25192,0.25144,0.24887,0.24777
,,,,,,
43,1,0.1,0.24992,0.25015,0.25014,0.24979
,,,,,,
